casename,A_true,n_true,a_true,alpha,beta,A_est,n_est,a_est,alpha_est,beta_est
case168,800.0,1.1,50.0,0.9,0.7,748.2611375552062,1.1075852545350535,45.31025576787415,0.9021994249177446,0.697047769904754
case169,800.0,1.1,50.0,0.9,0.8,746.4403459024794,1.1071008948490042,45.23129128012189,0.9022351609580448,0.7967017359987802
case170,800.0,1.1,50.0,0.9,0.9,746.1327670609152,1.106825341004784,45.23497303670993,0.9021752723555905,0.8973836392523136
case171,800.0,1.1,50.0,0.95,-0.9,793.5265010275853,1.103886096173622,49.23112561931267,0.9455869348583366,-0.8922132072660574
case172,800.0,1.1,50.0,0.95,-0.8,788.9769992609017,1.102856013076092,49.024952059587214,0.9480154202448647,-0.792925498441448
case173,800.0,1.1,50.0,0.95,-0.7,784.2882323344227,1.101675621810137,48.8055629841316,0.9485891379331198,-0.6929130563326867
case174,800.0,1.1,50.0,0.95,-0.6,780.4483603534795,1.1000274220093527,48.73271912009444,0.9494258439552833,-0.5931369953220056
case175,800.0,1.1,50.0,0.95,-0.5,776.463471988089,1.0988699363129928,48.57575712275365,0.9497361364177876,-0.49328948370477516
case176,800.0,1.1,50.0,0.95,-0.4,771.7325789439476,1.0980156276716035,48.34150527475594,0.949995572577931,-0.39356343318705267
case177,800.0,1.1,50.0,0.95,-0.3,768.0229966048562,1.0973928838049003,48.14590283828545,0.9501774008900774,-0.29387152610134687
case178,800.0,1.1,50.0,0.95,-0.2,762.5814803086,1.1025622445121972,46.660549004191324,0.921877464925392,-6.077005734424706e-166
